City,Latitude,Longitude
Unknown,45.9546198,-65.1695027
Kelowna,49.8879177,-119.495902
Vancouver,49.2608724,-123.113952
Barcelona,51.0435824,-114.0963002
Toronto,43.6534817,-79.3839347
West Kelowna,49.8585784,-119.582876
Chennai,43.6630581,-79.3676226
Dhaka,49.2298812,-123.0908603
Mumbai,43.8522422,-79.2604904
Belo Horizonte,-19.8965212,-43.9449137
Calgary,51.0456064,-114.057541
London,42.9832406,-81.243372
New Delhi,43.8478375,-79.2531757
Bacolod City,10.6891927,122.9765129
Abbotsford,49.0521162,-122.329479
Burlington,43.3248924,-79.7966835
Seoul,45.7218815,-73.6884037
Nanaimo,49.163877,-123.938122
Manila,49.9589037,-97.1744596
Vernon,50.2668671,-119.2718157
Surrey,49.1913033,-122.849143
Grande Prairie,55.17108,-118.7949873
North Vancouver,49.3206294,-123.0737925
New Westminster,49.2067726,-122.9108818
Belleville,44.2436328,-77.3607597
Taipei,43.6515217,-79.3785962
Niagara Falls,43.1065603,-79.0639039
Nelson,49.494891,-117.290039
Squamish,49.6980743,-123.155861
Edmonton,53.5462055,-113.491241
Hong Kong,49.2294259,-123.005151
Penticton,49.5003268,-119.593249
West Vancouver,49.3311208,-123.159479
Campbell River,50.023071,-125.244153
Richmond,49.163168,-123.137414
Burnaby,49.2433804,-122.972545
Delta,49.0846258,-123.057938
Oshawa,43.8975558,-78.8635324
Mississauga,43.5896231,-79.6443879
Basingstoke,43.1039738,-79.6217549
Port Coquitlam,49.2621643,-122.780542
Langley,49.1039289,-122.657047
Pitt Meadows,49.2207623,-122.690153
Coquitlam,49.2842958,-122.793281
Québec,52.4760892,-71.8258668
Maple Ridge,49.2197345,-122.599707
Winnipeg,49.8955367,-97.1384584
Montréal,45.5031824,-73.5698065
Chilliwack,49.1709788,-121.95255
Kamloops,50.6758269,-120.339415
Duncan,48.7786872,-123.7080446
Mission,49.1589351,-122.283583
Ottawa,45.4208777,-75.6901106
Kolkata,43.2582133,-79.8681919
Trois-Rivières,46.3432325,-72.5428485
Cranbrook,49.5107477,-115.7672772
Seattle,59.5308617,-133.4743562
Delhi,42.8544957,-80.4983709
Hyderabad,43.8942451,-79.2564171
Bulacan,14.770156,120.9835133
Kochi,45.3931414,-75.7518428
Davie,49.2873485,-123.1419766
Whitehorse,60.721571,-135.054932
Wellington,43.7590121,-80.4614994
Sidney,48.6505788,-123.398324
Cairo,42.7061603,-81.8964984
Jakarta,43.8602772,-79.303619
Metepec,40.4465245,-3.9928166
Moose Jaw,50.401515,-105.542908
Melbourne,43.7841325,-66.0551226
Prince George,53.9128645,-122.7453699
Hamilton,43.2560802,-79.8728583
Scarborough,43.7729744,-79.2576479
Valdivia,-33.49424,-70.6261402
Cambridge,43.3600536,-80.3123023
Sheffield,43.3250104,-80.2066249
Westminster,42.8864294,-81.2392213
Port Moody,49.2821981,-122.8293554
Greenwood,49.089585,-118.676876
Oviedo,46.8455806,-71.3371201
Halifax,44.648618,-63.5859487
Regina,50.4479733,-104.6158764
Liverpool,44.036104,-64.7172992
Saskatoon,52.131802,-106.660767
Annecy,46.8575505,-71.2520827
Kitchener,43.451291,-80.4927815
Terrace,54.5172715,-128.599548
Davis,53.1103334,-105.6567239
Cochrane,50.630898,-82.1914444
Dublin,43.5050055,-81.2856341
Jasper,52.8752336,-118.0824291
Waterloo,43.4652699,-80.5222961
Kota,11.2024973,125.000084
Charlottetown,46.234953,-63.132935
White Rock,49.0235357,-122.797924
Cleveland,45.6771615,-61.2398531
Fort Mcmurray,56.7291997,-111.3885221
Langford,48.4497693,-123.504666
Kyiv,50.4507612,-104.6390925
Thunder Bay,48.406414,-89.259796
Airdrie,51.28597,-114.01062
Courtenay,49.6894061,-124.9954959
Guelph,43.5460516,-80.2493276
Sarnia,42.9743821,-82.403533
Accra,45.512583,-73.6793169
Manchester,45.4524738,-61.468274
Geneva,45.5978207,-74.3468254
Palo Alto,48.464272,-123.3288634
Leicester,45.7921853,-63.977852
Rome,48.9754643,-65.4383833
Las Cruces,21.1760918,-101.7191894
Windsor,42.2858536,-82.9780695
León,49.8194884,-99.8518274
Grand Prairie,55.17108,-118.7949873
Valle De Bravo,20.75092,-103.43243
Sydney,46.1382112,-60.1941912
Tegucigalpa,13.8533472,-87.2457135
Guadalajara,40.9248166,-2.0606718
Buenos Aires,-34.4378167,-58.9188828
Spruce Grove,53.545204,-113.903503
Toulouse,46.1780068,-70.8497295
Santiago,45.5409435,-73.5985377
Cali,45.552204,-73.7596218
San Diego,51.0947405,-113.9331929
San Salvador,-24.1902403,-65.3182694
Oyama,50.1100562,-119.3708769
Lethbridge,49.6945782,-112.8331033
Oxford,43.1227633,-80.775072
East Gwillimbury,44.0957511,-79.4897803
Gatineau,45.4277659,-75.710976
Rio De Janeiro,-21.0088249,-48.2199483
Bangkok,45.4275081,-75.6902206
Port Alberni,49.2343668,-124.8056517
Cork,45.714175,-66.9294124
Cape Town,47.7378409,-52.7379313
Sherwood Park,53.5256963,-113.296631
San Rafael,-34.6044372,-68.35663
Portland,44.698979,-76.188746
Amman,43.6728828,-79.3198594
Porto Seguro,-20.9200537,-48.4954339
Sault Ste. Marie,46.5126554,-84.3330301
Brasília,3.3242883,-61.4942533
Brisbane,43.7445681,-80.0767202
Waterford,44.568811,-65.9774956
Red Deer,52.2690628,-113.8141464
Chicago,43.5890863,-79.6490863
Cumberland,49.6184754,-125.0319702
Ladner,49.0975074,-123.07851
Grand Forks,49.0312269,-118.4392039
Tokyo,46.8090065,-71.2220942
St Albans,49.1591471,-123.1308909
Koblenz,45.7396981,-74.5189721
Atwater,45.4897865,-73.5863426
Terrebonne,45.6951527,-73.6350148
Midway,49.01299,-118.782779
Christchurch,43.9044195,-79.4022355
Palma,45.4929673,-73.5571234
Madrid,40.391881,-3.7420356
Trujillo,-33.4505904,-70.7264193
Odesa,50.0835114,-122.9840151
Leipzig,52.1857124,-108.6748325
Uberlândia,-20.7052866,-43.8111732
Taunton,43.948895,-78.8496753
Bracebridge,45.041508,-79.310989
Medicine Hat,50.04303,-110.679016
Paris,63.812899,-138.6484861
Oakville,43.447436,-79.666672
Kimberley,49.6850876,-115.9819477
Leeds,44.4353727,-76.1813119
Hanoi,43.6414116,-79.4320362
Macau,48.9093019,-74.0272608
Moncton,46.0985679,-64.8004265
Porto Alegre,-20.9390707,-48.4966455
Monterrey,43.7420125,-79.5749038
Jeddah,49.5039771,-123.9504379
Austin,45.1840591,-72.2800175
Ventura,53.3479468,-110.8573323
Brampton,43.685832,-79.7599366
Milton,43.513671,-79.882817
Golden,51.2992217,-116.9642955
Dartmouth,44.6799707,-63.5720232
Princeton,49.460459,-120.507973
Longueuil,45.521906,-73.4644578
Lloydminster,53.279995,-110.00885
Collingwood,44.5027226,-80.2172379
Acworth,72.5946295,-102.4066717
St. Catharines,43.1579812,-79.2441003
Benin City,45.4061217,-75.6864873
Brandon,49.8511143,-99.9608924
Worcester,44.7454121,-65.5623692
Hannover,43.1737884,-79.2771435
Fredericksburg,46.2661038,-66.8600794
Prince Albert,53.201097,-105.748901
Bordeaux,45.5453133,-73.6861677
Liège,50.4838825,5.8059646
Brossard,45.4554579,-73.4678695
Barrie,44.3893208,-79.6901302
North Bay,46.3092115,-79.4607617
Newmarket,44.056258,-79.461708
Oakland,44.4521637,-64.3551639
Tunis,48.8395214,-80.8415157
Peterborough,44.3048009,-78.3199496
Timmins,48.477473,-81.330414
Istanbul,45.4484453,-75.5892457
Fort Smith,60.005852,-111.890259
Spring,43.0499366,-79.1202736
Fairbanks,49.5522342,-54.7300166
Port Colborne,42.8862392,-79.2513905
Victoriaville,46.0554948,-71.9598586
Mexicali,45.3965033,-75.7056158
Okanagan,49.9527193,-119.4424386
Camrose,53.013131,-112.840576
Kirkland,45.4529194,-73.8647559
Sherbrooke,45.403271,-71.889038
Sparks,46.5232105,-80.9440639
Corner Brook,48.95317,-57.947388
Houston,54.3982667,-126.6477077
Orangeville,43.9193171,-80.0973754
Markham,43.8563707,-79.3376825
Concordia,45.495244,-73.5785815
Casablanca,45.5413386,-73.7467135
Vienna,42.6795329,-80.792427
Esquimalt,48.429995,-123.41359
Vaughan,43.7941544,-79.5268023
Leamington,42.0531385,-82.5997722
Toluca,21.1527787,-101.731213
Lucknow,43.961848,-81.5172512
Itabuna,-20.9298122,-48.5000385
Brantford,43.1408157,-80.2631733
Cornwall,45.0469989,-74.7333845
Richmond Hill,43.8801166,-79.4392925
Nairobi,43.3818602,-80.5604327
Lahore,43.8474542,-79.2501362
Truro,45.3656974,-63.2864971
Copenhagen,42.6760422,-80.9854895
Puertollano,38.8804329,-4.0074418
Ashburn,44.0023382,-78.9957521
Trenton,44.1019126,-77.57539
Bend,53.7676901,-121.0650229
Fredericton,45.963233,-66.6432356
Santo Domingo,18.5345264,-69.8356863
Rizal,49.9576041,-97.1928968
Boucherville,45.6050197,-73.4526144
Sari,8.3552167,18.8391667
Leduc,53.2607825,-113.5511681
Boston,43.5498742,-79.9107485
Ogden,45.0451377,-72.165619
Salvador,52.166667,-109.516667
Puebla,23.9684989,-99.7721621
Addis Ababa,42.9870965,-81.2372606
Marseille,46.7071431,-74.045907
Yorkton,51.212045,-102.461243
Cochin,53.080344,-108.341957
Tampa,43.9356078,-78.8762024
Hermosillo,25.7295253,-100.1797054
Pickering,43.835765,-79.090576
Osaka,43.8988076,-78.8644399
Ningbo,30.4344838,104.078838
Montevideo,-34.8888579,-56.0651672
Yellowknife,62.4540807,-114.377385
Moscow,44.4294899,-76.8072349
Raleigh,51.5626226,-55.7324581
Yerevan,44.7879222,-63.6852099
Georgetown,46.1844077,-62.5315437
Redmond,50.2393964,-87.5358226
Bolton,43.879548,-79.73826
Chengdu,43.7770077,-79.4145876
Karachi,43.8497134,-79.2514071
Fort St. John,56.2524039,-120.846943
Danbury,52.0555124,-102.2433913
Floridablanca,37.6001094,-5.2142733
Brunswick,46.500283,-66.750183
Ajax,43.8505287,-79.0208814
San Antonio,3.8905608,-75.5080671
Dakar,46.8509337,-71.3404164
Chongqing,49.2593425,-123.0695201
Beaufort,46.5820701,-67.2892257
Rawalpindi,65.0462884,-114.5477864
Muscat,47.7205551,-70.8691904
Surat,43.6084637,-79.5832312
Huntsville,45.3263919,-79.218434
Roseau,49.1356634,-97.2429522
Owen Sound,44.5678105,-80.9430094
Ayr,43.2855122,-80.4507012
Durban,51.9278227,-101.4374378
Clearwater,51.6503514,-120.0654595
Bellevue,53.5647386,-113.4448473
Boise,46.8865627,-71.3106554
Curitiba,-23.4642436,-52.0471092
Alajuela,9.9953385,-84.2412388
Wa,50.4175413,-104.5894073
Edinburgh,49.1411745,-123.1266721
Baden,43.40378,-80.668923
Lecce,43.929245,-79.5268512
Colwood,48.4234135,-123.493964
Alexandria,45.3179423,-74.6397639
Valparaiso,52.8508385,-104.1815203
João Pessoa,-22.661265,-50.4212031
San Pedro,-4.0108663,-79.2130634
Akure,-8.871477,-70.595197
Alhambra,52.3429334,-114.6712396
Daule,46.6418535,-74.4450678
Colima,21.1537812,-101.7327478
Phoenix,53.8860899,-119.1418355
Mount Pearl,47.5239607,-52.811664
San Juan,47.5614705,-52.7130852
Shiraz,46.8060017,-71.2166771
Bedford,45.1205194,-72.9885161
Wellesley,43.6655242,-79.3838011
Nice,45.2266769,-80.1003723
Glace Bay,46.1949393,-59.9561999
Cúcuta,7.8093508,-72.5171516
Zibo,45.5619919,-73.7461735
Lower Sackville,44.7734627,-63.6884186
Lakeside,44.6384149,-63.6980357
Yarmouth,43.8372648,-66.1157
Bridgewater,44.3774134,-64.5193946
Akita,45.2677106,-75.733103
Amherst,46.0412856,-74.7695394
Savona,50.7534762,-120.843324
St. John'S,47.5614705,-52.7130852
Middleton,44.942431,-65.0680746
Alegre,3.3242883,-61.4942533
Verdun,45.459078,-73.5731774
Nepean,45.3112854,-75.7887426
New Glasgow,45.5869474,-62.6483547
Kunming,30.4285836,103.9265886
San Miguel,2.4465676,-76.617657
Westmount,45.4856917,-73.596562
Woodstock,46.150346,-67.573471
Welland,42.9922181,-79.2484192
Bridgetown,46.309126,-62.5317823
Canning,45.1577166,-64.4209904
Cole Harbour,44.6736008,-63.4877299
Orillia,44.6066135,-79.4169256
Mitchell,49.5316596,-96.7605562
Steinbach,49.530557,-96.69342
Poitiers,48.2781475,-72.4988612
Aurora,43.99973,-79.467545
Boisbriand,45.6130248,-73.8386113
Perth,43.4935991,-81.0164111
Quinte West,44.0988246,-77.5748551
South Shore,49.2064827,-123.0590292
Chester,44.5413322,-64.2411853
Miramichi,47.0298004,-65.4704158
Norwich,42.987699,-80.59756
Enfield,44.9302051,-63.5187837
Renfrew,45.7300564,-77.2793698
Laval,45.6055889,-73.7345601
Saint John,45.2787992,-66.0585188
Chatham,42.4057219,-82.1853837
Caledonia,44.3751443,-65.0310154
Berwick,45.0455684,-64.7362073
Dieppe,46.0966797,-64.7357347
York,44.0007518,-79.4372217
Brant,43.1010804,-80.4288217
Niagara-On-The-Lake,43.2556116,-79.0723264
Stratford,43.3700899,-80.9818016
Greater Sudbury,46.49272,-80.991211
Rosedale,43.676464,-79.3885367
Durham,45.1255418,-73.9922809
Warren,45.8454082,-64.1238504
Fall River,44.8760306,-76.4807141
Cobourg,43.9595998,-78.1677784
Oak Bay,48.4261126,-123.3170727
Stephenville,48.5452022,-58.5871146
Inverness,46.2596772,-71.521879
Dollard-Des Ormeaux,45.48423,-73.8064547
Acton,45.6018427,-72.5232917
